Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика. исполнителя). подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота; Начальная (максимальная) цена контракта ;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация. осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
44-ФЗ;№0373100119619000002;Открытый конкурс в электронной форме;Строительство лоцмейстерских судов ледового класса Ice3. Лоцмейстерское судно ледового класса Ice3 проекта BLV03;;'191770201740077020100100140023011414';;;1 009 344 850,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";16.05.2019;20.06.2019;Определение поставщика завершено;;16.05.2019;07.06.2019;
44-ФЗ;№0373100119618000007;Закупка у единственного поставщика (подрядчика. исполнителя);Строительство многофункционального аварийно-спасательного судна мощностью 7 МВт. Многофункциональное аварийно-спасательное судно мощностью 7 МВт (проект MPSV06);;'181770201740077020100100070093011414';;;4 611 200 000,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";28.12.2018;28.12.2018;Определение поставщика завершено;;;;
44-ФЗ;№0373100119614000019;Повторный конкурс;Строительство многофункционального буксира-спасателя мощностью 2.5-3 МВт;;;;;8 000 000 000,00;RUB;;;;;;;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"Федеральное казенное учреждение ""Дирекция государственного заказчика программ развития морского транспорта""";09.09.2014;07.10.2014;Определение поставщика завершено;;12.09.2014;26.09.2014;
44-ФЗ;№0373100119622000001;Открытый конкурс в электронной форме;Строительство многофункциональных аварийно-спасательных судов ледового  класса. Многофункциональное аварийно-спасательное судно мощностью 7 МВт. Проект MPSV06M;;'221770201740077100100100100033011414';;;7 463 133 100,00;RUB;;;;;30.11.32.114: Буксиры морские спасательные;30.11.32.114-00000001: Аварийно-спасательное судно;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";28.09.2022;18.11.2022;Определение поставщика завершено;;;15.11.2022;
44-ФЗ;№0373100119621000005;Открытый конкурс в электронной форме;Строительство многофункциональных аварийно-спасательных судов ледового класса. Многофункциональное аварийно-спасательное судно мощностью 18 МВт. Проект IBSV02;;'211770201740077100100100270053011414';;;13 296 800 000,00;RUB;;;;;30.11.32.114: Буксиры морские спасательные;30.11.32.114-00000001: Аварийно-спасательное судно;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";18.06.2021;26.07.2021;Определение поставщика завершено;;18.06.2021;12.07.2021;
44-ФЗ;№0373100119621000002;Открытый конкурс в электронной форме;Строительство многофункциональных аварийно-спасательных судов ледового класса. Многофункциональное аварийно-спасательное судно мощностью 4 МВт. Проект MPSV07;;'211770201740077100100100210023011414';;;4 899 400 000,00;RUB;;;;;30.11.32.114: Буксиры морские спасательные;30.11.32.114-00000001: Аварийно-спасательное судно;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";30.04.2021;09.06.2021;Определение поставщика завершено;;30.04.2021;01.06.2021;
44-ФЗ;№0373100119621000004;Открытый конкурс в электронной форме;Строительство многофункциональных аварийно-спасательных судов ледового класса. Многофункциональное аварийно-спасательное судно мощностью 7 МВт. Проект MPSV06M;;'211770201740077100100100190043011414';;;6 951 200 000,00;RUB;;;;;30.11.32.114: Буксиры морские спасательные;30.11.32.114-00000001: Аварийно-спасательное судно;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";12.05.2021;10.06.2021;Определение поставщика завершено;;12.05.2021;10.06.2021;
44-ФЗ;№0373100119621000001;Открытый конкурс в электронной форме;Строительство многофункциональных аварийно-спасательных судов ледового класса. Многофункциональный буксир-спасатель мощностью 2.5-3 МВт. Проект MPSV12.;;'211770201740077100100100120013011414';;;2 946 500 000,00;RUB;;;;;30.11.32.114: Буксиры морские спасательные;30.11.32.114-00000001: Аварийно-спасательное судно;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";05.04.2021;17.05.2021;Определение поставщика завершено;;05.04.2021;28.04.2021;
44-ФЗ;№0373100119621000003;Открытый конкурс в электронной форме;Строительство многофункциональных аварийно-спасательных судов ледового класса. Многоцелевой морской буксир проекта Т3150;;'211770201740077100100100200033011414';;;4 240 600 000,00;RUB;;;;;30.11.32.114: Буксиры морские спасательные;30.11.32.114-00000001: Аварийно-спасательное судно;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";11.05.2021;30.06.2021;Определение поставщика завершено;;11.05.2021;22.06.2021;
44-ФЗ;№0373100119619000004;Закупка у единственного поставщика (подрядчика. исполнителя);Строительство морского водолазного судна. Морское водолазное судно проекта SDS18;;'191770201740077020100100090063011414';;;710 000 000,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";19.06.2019;19.06.2019;Определение поставщика завершено;;;;
44-ФЗ;№0373100119618000005;Открытый конкурс;Строительство морского противопожарного буксира;;'181770201740077020100100060063011414';;;550 000 000,00;RUB;;;;;30.11.33.130: Суда пожарные;30.11.33.130: Суда пожарные;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";30.08.2018;23.10.2018;Определение поставщика завершено;;01.10.2018;22.10.2018;
44-ФЗ;№0373100119619000008;Открытый конкурс в электронной форме;Строительство морского противопожарного буксира. Противопожарный буксир-спасатель пр. NE011;;'191770201740077020100100160093011414';;;441 650 000,00;RUB;;;;;30.11.33.130: Суда пожарные;30.11.33.130: Суда пожарные;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";25.09.2019;14.11.2019;Определение поставщика завершено;;14.10.2019;06.11.2019;
223-ФЗ;№31603763029;Закупка у единственного поставщика (подрядчика. исполнителя);Строительство несамоходного фрезерного земснаряда высокой производительности;;;1;Строительство несамоходного фрезерного земснаряда высокой производительности;7 064 014,00;RUB;;;;;30.1: Корабли. суда и лодки;30.1: Корабли. суда и лодки;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;09.06.2016;09.06.2016;Закупка завершена;;09.06.2016;;
223-ФЗ;№32312597910;Прочие;Строительство несамоходного фрезерного земснаряда высокой производительности проекта FPDG3;;;1;Строительство несамоходного фрезерного земснаряда высокой производительности проекта FPDG3;950 000 000,00;RUB;;;;;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;19.07.2023;21.07.2023;Закупка завершена;;19.07.2023;27.07.2023;
44-ФЗ;№0373100119614000017;Электронный аукцион;Строительство объекта «Приобретение контейнерного водолазного комплекса с комплектом водолазного снаряжения для спусков на глубину до 120 м»;;;;;702 000 000,00;RUB;;;;;;;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"Федеральное казенное учреждение ""Дирекция государственного заказчика программ развития морского транспорта""";28.08.2014;18.09.2014;Определение поставщика отменено;;09.09.2014;25.09.2014;
44-ФЗ;№0373100119616000001;Закупка у единственного поставщика (подрядчика. исполнителя);Строительство рейдового водолазного катера;;;;;395 000 000,00;RUB;;;;;30.11.32.130: Катера судовые буксирные;30.11.32.130: Катера судовые буксирные;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";15.01.2016;15.01.2016;Определение поставщика завершено;;;;
44-ФЗ;№0373100119618000003;Закупка у единственного поставщика (подрядчика. исполнителя);Строительство спасательного катера-бонопостановщика;;'181770201740077020100100040043011414';;;410 000 000,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";24.07.2018;24.07.2018;Определение поставщика завершено;;;;
44-ФЗ;№0373100119619000003;Открытый конкурс в электронной форме;Строительство специализированных гидрографических катеров. Гидрографическое судно проекта Е35.Г;;'191770201740077020100100100043011414';;;678 300 000,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";06.06.2019;04.07.2019;Определение поставщика завершено;;06.06.2019;01.07.2019;
44-ФЗ;№0373100119619000001;Открытый конкурс в электронной форме;Строительство специализированных гидрографических катеров. Гидрографическое судно проекта Е35.Г;;'191770201740077020100100100043011414';;;678 300 000,00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";29.03.2019;20.05.2019;Определение поставщика завершено;;29.03.2019;23.04.2019;
223-ФЗ;№31300551828;Запрос котировок;Строительство трех речных пассажирских судов;;;1;Строительство трех речных пассажирских судов;106 500 000,00;RUB;;;;;;;"Государственное предприятие Астраханской области ""Пассажирское автотранспортное предприятие №3""";;13.09.2013;13.09.2013;Закупка завершена;;13.09.2013;;
223-ФЗ;№31502419126;Закупка у единственного поставщика (подрядчика. исполнителя);Строительство шести рабочих катеров с ледовым усилением для филиалов ФГУП «Росморпорт»;;;1;Строительство шести рабочих катеров с ледовым усилением для филиалов ФГУП «Росморпорт»;861 000 000,00;RUB;;;;;;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;01.06.2015;01.06.2015;Закупка завершена;;01.06.2015;;
223-ФЗ;№31705371852;Закупка у единственного поставщика (подрядчика. исполнителя);Строительство. оборудование и комплектация буксира. спуск на воду. поставка заказчику. осуществление приемо-сдаточных испытаний ;;;1;Строительство. оборудование и комплектация буксира. спуск на воду. поставка заказчику. осуществление приемо-сдаточных испытаний ;223748963.81;RUB;;;;;30.11: Корабли. суда и плавучие конструкции;30.11: Корабли. суда и плавучие конструкции;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""СЕВЕРНОЕ МАШИНОСТРОИТЕЛЬНОЕ ПРЕДПРИЯТИЕ""";;28.07.2017;28.07.2017;Закупка завершена;;28.07.2017;;
44-ФЗ;№1372000000314000033;Открытый конкурс;Строительство. предъявление. передача буксира заказчику;;;;;280 000 000,00;RUB;;;;;;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АДМИРАЛТЕЙСКИЕ ВЕРФИ""";"Открытое акционерное общество ""Адмиралтейские верфи""";30.12.2014;16.04.2015;Определение поставщика завершено;;30.12.2014;20.01.2015;
44-ФЗ;№0490000000819000007;Открытый конкурс в электронной форме;"Суда пассажирские смешанного плавания ""река-море""";;'191772026182789010100100080083012000';;;5 270 000 000,00;RUB;;;;;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";30.12.2019;25.03.2020;Определение поставщика завершено;;23.01.2020;20.03.2020;
44-ФЗ;№0490000000819000008;Открытый конкурс в электронной форме;Суда речные пассажирские;;'191772026182789010100100040043012000';;;460 000 000,00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";30.12.2019;25.03.2020;Определение поставщика завершено;;13.02.2020;20.03.2020;
44-ФЗ;№0490000000819000003;Открытый конкурс в электронной форме;Суда речные пассажирские;;'191772026182789010100100070073012000';;;320 000 000,00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";30.12.2019;03.02.2020;Определение поставщика завершено;;30.12.2019;29.01.2020;
44-ФЗ;№2300500000323000002;Электронный аукцион;Суда речные пассажирские;;'232616720542261670100100020023011452';;;177 000 000,00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СУДОХОДНАЯ ПАССАЖИРСКАЯ КОМПАНИЯ ""ДОН""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СУДОХОДНАЯ ПАССАЖИРСКАЯ КОМПАНИЯ ""ДОН""";07.08.2023;07.08.2023;Подача заявок;;07.08.2023;15.08.2023;
44-ФЗ;№2300500000323000001;Электронный аукцион;Суда речные пассажирские;;'232616720542261670100100010013011452';;;177 000 000,00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СУДОХОДНАЯ ПАССАЖИРСКАЯ КОМПАНИЯ ""ДОН""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СУДОХОДНАЯ ПАССАЖИРСКАЯ КОМПАНИЯ ""ДОН""";28.07.2023;09.08.2023;Определение поставщика завершено;;28.07.2023;07.08.2023;
44-ФЗ;№0134300070117000032;Электронный аукцион;Суда речные пассажирские;;'173381800165938180100100500503011244';;;4 970 700,00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ УСТЬ-КУТСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ;КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ УСТЬ-КУТСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ;12.10.2017;22.11.2017;Определение поставщика завершено;Субъектам малого предпринимательства. социально ориентированным некоммерческим организациям;12.10.2017;07.11.2017;
44-ФЗ;№0134300070117000021;Электронный аукцион;Суда речные пассажирские;;'173381800165938180100100430433011244';;;4 713 000,00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ УСТЬ-КУТСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ;КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ УСТЬ-КУТСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ;03.07.2017;09.10.2017;Определение поставщика завершено;Субъектам малого предпринимательства. социально ориентированным некоммерческим организациям;03.07.2017;18.07.2017;
44-ФЗ;№0134300045117000053;Электронный аукцион;Суда речные пассажирские;;'173384200056838490100100490013011244';;;4 300 000,00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;АДМИНИСТРАЦИЯ УСТЬ-УДИНСКОГО РАЙОНА ИРКУТСКОЙ ОБЛАСТИ РОССИЙСКОЙ ФЕДЕРАЦИИ;АДМИНИСТРАЦИЯ УСТЬ-УДИНСКОГО РАЙОНА ИРКУТСКОЙ ОБЛАСТИ РОССИЙСКОЙ ФЕДЕРАЦИИ;11.08.2017;11.09.2017;Определение поставщика завершено;Субъектам малого предпринимательства. социально ориентированным некоммерческим организациям;11.08.2017;28.08.2017;
44-ФЗ;№0124300032018000003;Запрос котировок;Суда речные пассажирские;;'183292112761429210100100100013011244';;;465 000,00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ОСТРОВНОЕ""";"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ОСТРОВНОЕ""";31.07.2018;14.08.2018;Определение поставщика завершено;Субъектам малого предпринимательства. социально ориентированным некоммерческим организациям;01.08.2018;13.08.2018;
44-ФЗ;№0507600003219000018;Электронный аукцион;Суда сухогрузные речные несамоходные;;'193110143088311010100100070013011000';;;441 000,00;RUB;;;;;30.11.24.122: Суда сухогрузные речные несамоходные;30.11.24.122: Суда сухогрузные речные несамоходные;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДСКОГО ОКРУГА ""СЫКТЫВКАР""""ЖИЛКОМСЕРВИС""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДСКОГО ОКРУГА ""СЫКТЫВКАР""""ЖИЛКОМСЕРВИС""";28.02.2019;11.04.2019;Определение поставщика завершено;Субъектам малого предпринимательства. социально ориентированным некоммерческим организациям;28.02.2019;11.03.2019;
44-ФЗ;№0490000000820000001;Открытый конкурс в электронной форме;"Суда сухогрузные смешанного плавания ""река-море""";;'201772026182789010100100010013011000';;;4 000 000 000,00;RUB;;;;;"30.11.24.130: Суда сухогрузные смешанного плавания ""река - море""";"30.11.24.130: Суда сухогрузные смешанного плавания ""река - море""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";30.04.2020;11.09.2020;Определение поставщика отменено;;30.04.2020;21.09.2020;
44-ФЗ;№0490000000819000004;Открытый конкурс в электронной форме;"Суда сухогрузные смешанного плавания ""река-море""";;'191772026182789010100100030033012000';;;4 000 000 000,00;RUB;;;;;"30.11.24.130: Суда сухогрузные смешанного плавания ""река - море""";"30.11.24.130: Суда сухогрузные смешанного плавания ""река - море""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";30.12.2019;30.03.2020;Определение поставщика завершено;;21.02.2020;19.03.2020;
44-ФЗ;№0490000000820000009;Открытый конкурс в электронной форме;"Суда сухогрузные смешанного плавания ""река-море""";;'201772026182789010100100090093011000';;;3 000 000 000,00;RUB;;;;;"30.11.24.130: Суда сухогрузные смешанного плавания ""река - море""";"30.11.24.130: Суда сухогрузные смешанного плавания ""река - море""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";23.11.2020;16.12.2020;Определение поставщика завершено;;23.11.2020;15.12.2020;
